VehicleSpeed[km/h],EngineFuelRate[L/h]
44.02400043,9.0
44.34200122,8.949999809
44.43699863,8.75
44.49999835,9.25
44.5290015,9.350000381
44.38400104,8.850000381
44.45200183,8.399999619
44.50900104,7.949999809
44.64100101,7.300000191
44.2489989,7.25
44.50499942,7.199999809
44.37299945,7.199999809
44.33500125,7.449999809
44.24000003,7.550000191
43.78199985,7.699999809
44.25699832,8.300000191
43.96700122,8.5
44.31099918,8.550000191
43.98599841,9.0
44.21700122,9.0
44.37899997,9.050000191
44.69700076,8.350000381
44.16699817,8.0
44.17799976,7.449999809
44.42399814,7.900000095
44.57700183,7.699999809
43.9950011,7.800000191
44.34499957,8.25
44.37600162,8.399999619
43.9250014,8.149999619
43.888998289999996,8.149999619
44.34800174,8.050000191
44.49199893,7.550000191
44.41699817,6.949999809
43.99600055,6.5
43.93499973,9.149999619
44.17099979,10.05000019
44.27400043,9.5
44.01999881,9.0
44.76700046,8.649999619
44.63099887,8.199999809
44.48200061,7.900000095
44.72600009,7.849999905
44.4610007,7.800000191
44.17299869,8.149999619
44.06600024,8.199999809
44.45699908,8.699999809
44.17099979,8.75
44.53899982,8.75
44.73200061,8.800000191
44.35700061,8.0
44.14000156,7.300000191
44.11300113,6.75
44.27499988,6.300000191
44.06500079,6.699999809
44.01500156,7.400000095
44.02300098,7.650000095
44.21600177,8.25
43.89200046,9.0
43.72600009,9.5
44.11200168,9.899999619
43.83899905,10.10000038
44.20699908,10.14999962
44.20200183,10.05000019
44.27699878,9.899999619
44.13599994,0.0
42.51600101,0.0
39.69600131,0.0
36.83700015,6.199999809
32.58700015,0.0
28.01000049,0.0
23.01499965,12.44999981
18.60000064,0.0
14.16799953,0.0
9.227999947,8.149999619
4.884000084,2.599999905
1.679000041,1.600000024
0.11399999899999999,1.75
0.091999999,1.700000048
0.198000005,1.700000048
0.112000002,1.75
0.139000005,1.75
0.097000001,1.799999952
0.061000003,1.799999952
0.053000002,1.75
0.133999995,1.75
0.047999998999999995,1.75
0.10100000199999999,1.75
0.191000006,1.75
0.138000003,1.799999952
0.111,1.850000024
0.094999997,1.799999952
0.281000009,1.850000024
0.108000001,1.850000024
0.140999994,1.799999952
0.097000001,1.799999952
0.076999998,1.799999952
0.090999997,1.799999952
0.130000001,1.799999952
0.033999999999999996,1.850000024
0.079000002,1.850000024
0.049000000999999994,1.850000024
0.033999999999999996,1.850000024
0.049999998999999996,1.799999952
0.089,1.799999952
0.10100000199999999,1.799999952
0.079000002,1.850000024
0.068999997,1.850000024
0.11500000099999999,1.850000024
0.054,1.850000024
0.214999995,1.850000024
0.120000003,1.850000024
0.21,1.799999952
0.133999995,1.799999952
0.138000003,1.850000024
0.140999994,1.850000024
0.138000003,1.850000024
0.049999998999999996,1.899999976
0.045999999,1.899999976
0.076999998,1.850000024
0.091999999,1.799999952
0.033999999999999996,1.799999952
0.094999997,1.799999952
0.094999997,1.850000024
0.047000001,1.850000024
0.11600000299999999,1.850000024
0.080999999,1.899999976
0.082000001,1.850000024
0.200999996,1.850000024
0.058999999,1.850000024
0.018000000000000002,1.799999952
0.125999993,1.850000024
0.094999997,5.550000191
2.444999954,15.75
5.981000206,23.35000038
9.93999984,26.04999924
12.15300014,25.0
13.06699969,25.14999962
13.43200042,3.400000095
13.12899997,4.900000095
13.56899955,26.20000076
15.51900031,31.75
17.30200031,32.5
19.622,33.90000153
20.90699985,33.29999924
23.16900089,35.29999924
25.17899921,23.5
25.81600024,0.0
25.23699977,10.19999981
26.44700076,36.95000076
28.29400089,38.25
29.68000056,39.25
32.39100101,39.34999847
34.13099887,38.59999847
36.09400012,30.54999924
37.09300067,25.79999924
37.85299899,18.29999924
38.03000095,0.0
38.07399966,7.75
37.78899982,28.29999924
39.07300021,29.54999924
40.06099918,32.34999847
40.98200061,37.34999847
42.67999866,38.90000153
43.99999835,32.75
44.5899985,9.0
43.67999866,0.0
41.5840018,0.0
39.9099982,0.0
37.51099994,0.0
34.52300098,0.0
31.39999988,0.0
28.56099918,0.0
25.73399951,0.0
23.13599994,3.849999905
20.50700023,0.0
16.52299907,0.0
13.71099975,2.650000095
10.63599994,0.0
7.450999996,0.0
3.420000097,3.549999952
2.7249999259999997,1.450000048
0.987999997,1.149999976
0.015999999,1.5
0.034999999,1.5
0.061999998,1.5
