time[s],VehicleWeight[ton],VehicleSpeed[km/h],EngineSpeed[rpm],grad[%]
612,22.5,37.08300018,835,0.96963073
613,22.5,36.12799835,828.75,0
614,22.5,36.11700058,814.5,0
615,22.5,35.31499863,806,1.00795548
616,22.5,35.1969986,983.25,1.021101851
617,22.5,35.30400085,977,0
618,22.5,35.03499985,976.5,-2.04723133
619,22.5,34.96900177,980,-2.057023301
620,22.5,35.14300156,983,-2.053854627
621,22.5,35.9070015,985.5,-1.013374693
622,22.5,35.34600067,988.75,1.010487598
623,22.5,35.88499832,992,0
624,22.5,35.61299896,999.25,0
625,22.5,36.20100021,996.25,0
626,22.5,36.85800171,999.75,0.985503894
627,22.5,36.04700089,1018,0.987585612
628,22.5,37.72000122,1023.25,0.976045244
629,22.5,36.81600189,1026.5,0.965975205
630,22.5,37.32300186,1037.5,0
631,22.5,37.40999985,1041.5,0
632,22.5,37.89599991,1049.5,-0.956098201
633,22.5,37.91699982,1054.5,0
634,22.5,38.31399918,1060.25,0.944496751
635,22.5,38.41400146,1068.5,0.938383308
636,22.5,38.58599854,1075.25,0
637,22.5,38.89400101,1088.75,0
638,22.5,39.32099915,1090.75,-0.920543053
639,22.5,39.97999954,1094.5,0
640,22.5,40.7120018,1096.75,-0.892280891
641,22.5,39.38700104,1101.25,-0.898886741
642,22.5,39.96300125,1104,-0.907371513
643,22.5,39.99300003,1104.5,-0.900494394
644,22.5,39.30199814,1074.75,0.908000915
645,22.5,38.86299896,1069.5,-0.921127532
646,22.5,38.06999969,1052.5,0.93587839
647,22.5,37.46699905,1073.25,0
648,22.5,37.15000153,1045,0
649,22.5,37.85499954,1049.75,-1.919874727
650,22.5,37.86000061,1053.75,0
651,22.5,38.71300125,1059,-0.940278285
652,22.5,38.21900177,1070,0.935890501
653,22.5,38.52999878,1085.5,0
654,22.5,39.82699966,1096.25,0
655,22.5,39.94200134,1113.75,1.80521511
656,22.5,40.45000076,1141.75,0.895610629
657,22.5,41.01100159,1162.25,0
658,22.5,42.25699997,1174,0.86467707
659,22.5,42.69499969,1154,0
660,22.5,42.02799988,961,-0.849827461
661,22.5,41.54999924,968.75,0
662,22.5,42.77500153,984,-0.853838493
663,22.5,43.34799957,999.5,0.836012804
